spørsmål,svar,kommunenavn
Hva er hovedintensjonene i kommunedelplanen for sentrum?,"Hovedintensjonene i kommunedelplanen for sentrum inkluderer blant annet å fremme bærekraftig utvikling, styrke sentrumsfunksjonene og ivareta kulturminner.",Kristiansund
Hva er de felles bestemmelsene som gjelder i kommunen Kristiansund?,"Felles bestemmelser i Kristiansund regulerer ulike forhold som er viktige for planlegging og utvikling i kommunen, og kan omfatte blant annet regler for byggehøyder, arealbruk, og bevaring av kulturminner.",Kristiansund
Hva er kravene til plankvalitet i kommunen?,"Plankravene i kommunen inkluderer blant annet bestemmelser om parkering, bevaring av landskapsform, større trær og bebyggelsesstruktur, skilt, støy, offentlige områder og samfunnssikkerhet.",Kristiansund
Hva er reglene for bygging og anlegg i kommunen Kristiansund?,Reglene for bygging og anlegg i Kristiansund er beskrevet i planbestemmelsene og planreguleringene som er tilgjengelige i dokumentet.,Kristiansund
"Hva er hensikten med å sikre god parkerings- og trafikksituasjon for beboere, besøkende og næringsdrivende i kommunen?","Hensikten med å sikre god parkerings- og trafikksituasjon er å opprettholde en effektiv og trygg tilgjengelighet til ulike områder for beboere, besøkende og næringsdrivende.",Kristiansund
Hvilke hensyn må tas ved nye utbyggingstiltak og endringer i den etablerte bygg- og bystruktur i kommunen?,"Nye utbyggingstiltak og endringer i den etablerte bygg- og bystruktur må ta hensyn til gjenreisningsarkitekturens formuttrykk, samt sikre god framkommelighet og trygghet for alle grupper. Det skal også legges vekt på et mangfold av kulturaktiviteter for å gi besøkende og beboere rike opplevelser.",Kristiansund
Hva er hovedfokuset når det gjelder nye utbyggingstiltak og endringer i bygg- og bystruktur i kommunen?,"Hovedfokuset er at gjenreisningsarkitekturens formuttrykk skal tas hensyn til, samtidig som framkommelighet og trygghet skal være god for alle grupper, og et mangfold av kulturaktiviteter skal gi besøkende og beboere rike opplevelser.",Kristiansund
Hva er målet med utviklingen av bysentrum i kommunen?,"Målet er å utvikle bysentrum til en regional attraktiv, tett og urban bolig-, handels- og kulturby med gode bymessige kvaliteter.",Kristiansund
Hva er kommunens planer for å stimulere til flere arbeids- og skoleplasser i sentrum?,"Kommunen skal stimulere til flere arbeids- og skoleplasser i sentrum ved å tilrettelegge nye attraktive bolig- og næringsarealer i tilstrekkelig omfang, samtidig som eksisterende bebyggelse omformes etter nye behov.",Kristiansund
Hva er PlanID-en knyttet til de foreliggende bestemmelsene?,"PlanID-en knyttet til de foreliggende bestemmelsene er K-201201, sist revidert 2.2.2021.",Kristiansund
"Hva kreves for at nye tiltak etter § 20-1 bokstav a, k og l kan gjennomføres?","Nye tiltak etter § 20-1 bokstav a, k og l kan ikke gjennomføres uten hjemmel i reguleringsplan. Ved utarbeiding av reguleringsplan, skal planområdet omfatte hele kvartalet utbyggingen inngår i.",Kristiansund
Hva er kravene til parkeringsdekning i forbindelse med reguleringsplaner og byggetiltak i kommunen?,Parkeringsdekning skal dokumenteres ved utarbeidelse av reguleringsplan og ved søknad om byggetiltak etter gitte bokstaver. Parkeringsdekning skal være i samsvar med krav i parkeringstabellen eller andre krav hjemlet i reguleringsplan.,Kristiansund
Hva er retningslinjene for utforming av parkering i kommunen?,"Retningslinjene om utforming av parkering er grunnlaget for vurdering av parkeringsplanen i kommunen, og tar hensyn til eventuelle stedlige forhold og behovene til bebyggelsen.",Kristiansund
Hva er kravene til utforming av sykkelparkering i kommunen?,"Sykkelparkering skal ha en plassering og utforming som gir rask og enkel tilkomst til målpunktet, ikke være til hinder for fotgjengere, og i størst mulig grad utformes med ly for nedbør og vind for å begrense sykkeltyveri.",Kristiansund
Hvilke typer virksomheter er tillatt i boligkjøpesenteret i henhold til planbestemmelsene?,"Boligkjøpesenteret tillater forretning, handel, kontor, industri/verksted, lager/engros, restaurant/pub/kafé, treningssenter, fysioterapilokaler eller behandlingslokaler, hotell, bensinstasjon (betjente), gatekjøkken, sykehjem, barnehage/barnepark, skoler (grunn- og videregående) og forsamlingslokale (kino/teater, kirke).",Kristiansund
Hvorfor regnes 80 % av krav til boligparkering som egenparkering og 20 % som gjesteparkering?,80 % av kravet til boligparkering regnes som egenparkering og 20 % som gjesteparkering for å sikre at det er tilstrekkelig parkeringsplasser tilgjengelig for beboerne samtidig som det tas hensyn til gjesteparkering.,Kristiansund
Hva er prosessen for å få samtykke til å innbetale et beløp for bygging av offentlige parkeringsanlegg i stedet for å ha oppstillingsplasser på egen grunn eller felles areal?,"For å få samtykke til å innbetale et beløp for bygging av offentlige parkeringsanlegg i stedet for oppstillingsplasser, må man kontakte kommunen i tråd med plan- og bygningslovens § 28-7.",Kristiansund
Hva skjer med pengene som betales for manglende oppstillingsplasser i Kristiansund kommune?,"Pengene som betales for manglende oppstillingsplasser i Kristiansund kommune plasseres i et kommunalt fond kalt ""Fond til parkeringsformål for Kristiansund kommune"", og midlene disponeres av kommunen kun til grunnerverv og opparbeidelse av offentlige parkeringsanlegg for bil og/eller sykkel, med tilhørende infrastruktur.",Kristiansund
Hva må tiltakshavere gjøre for å benytte seg av frikjøpsordningen for parkeringsanlegg i Kristiansund?,Tiltakshavere som ønsker å benytte seg av frikjøpsordningen må framlegge en underskrevet egenerklæring om at kommunedelplanens bestemmelser for frikjøp av oppstillingsplasser aksepteres. Denne erklæringen er et vilkår for godkjenning av byggeplaner.,Kristiansund
"Hva menes med ""større trær"" i forhold til bevaring av landskapsform i planbestemmelsene?","Større trær refererer til trær med en stammeomkrets over 120 cm, målt 1,3 meter over terreng. Disse trærne skal bevares ved nye utbyggingstiltak.",Kristiansund
Hva sier planbestemmelsene om hvordan ny bebyggelse skal forholde seg til den historiske gate- og bebyggelsesstrukturen?,Planbestemmelsene sier at ny bebyggelse skal forholde seg til den historiske gate- og bebyggelsesstrukturen.,Kristiansund
Hva er kravene til utforming og størrelse av skilt og reklameinnretninger i kommunen?,"Skilt- og reklameinnretninger skal utføres slik at de tilfredsstiller rimelige skjønnhetshensyn både i forhold til seg selv og i forhold til bakgrunn og omgivelser. Skjemmende farger og utførelse er ikke tillatt og kan kreves endret. Skilt og reklame skal ha tilknytning til virksomhet i bygningen og tilpasses bygget i størrelse, utforming og farger. Takreklame er ikke tillatt.",Kristiansund
Hva skal legges til grunn ved planlegging og behandling av reguleringsplaner i kommunen?,Retningslinje for behandling av støy i arealplanlegging (T-1442) skal legges til grunn ved planlegging og behandling av reguleringsplaner.,Kristiansund
Hva innebærer det at arealer avsatt til grønnstruktur skal være offentlige?,Arealer avsatt til grønnstruktur skal være offentlige i henhold til hjemmel § 11-10 nr. 3.,Kristiansund
Hva er formålet med byggegrensen mot sjø i henhold til plan- og bygningsloven?,Formålet med byggegrensen mot sjø er å følge formålsgrensen for bruk og vern av sjø og vassdrag med tilhørende strandsone mot land.,Kristiansund
Hva er den maksimale tillatte høyden for tekniske anlegg som stikker opp over gesimshøyden?,"Tekniske anlegg kan stikke opp over maksimal tillatt gesimshøyde med inntil 3,0 m.",Kristiansund
Hva er restriksjonskravet for byggekraner ved Kristiansund lufthavn?,Restriksjonskravet for byggekraner ved Kristiansund lufthavn er at de ikke skal være over kote 107 meter over havet uten godkjenning fra Avinor Kristiansund lufthavn.,Kristiansund
Hva er kravene til private uteoppholdsarealer for boliger i kommunen?,"Alle boenheter skal ha tilgang til private og felles uteoppholdsareal i samsvar med spesifikke areal- og kvalitetskrav, inkludert private balkonger, terrasser og utenomhusarealer.",Kristiansund
Hva er kravet til minimum uteoppholdsareal for boliger med separat inngang fra terreng?,Minimum 25 m2 per bolig.,Kristiansund
Hva er minimumsarealet som kreves for boliger med separat inngang fra terreng?,Minimum 25 m2 per bolig er påkrevd for boliger med separat inngang fra terreng.,Kristiansund
Hva er minimumsarealet for felles uteoppholdsareal for 5 boenheter eller mer i kommunen?,Minimumsarealet for felles uteoppholdsareal for 5 boenheter eller mer i kommunen er 50 m² pluss 10 m² per boenhet.,Kristiansund
Hva er det maksimale tillatte arealet som felles uteoppholdsarealer kan dekkes av nærliggende offentlige arealer i kommunen?,Det maksimale tillatte arealet som felles uteoppholdsarealer kan dekkes av nærliggende offentlige arealer i kommunen er 50 %.,Kristiansund
Hva er kravet til tilgang til fellesområder for alle boenheter i kommunen?,"Alle boenheter skal ha tilgang til fellesområder maksimum 150 m fra byggets hovedatkomst, og arealene skal ikke være brattere enn 1:3, med mindre det har spesielle bruksverdier som for eksempel en akebakke.",Kristiansund
Hva er kravene til sollys på arealene i henhold til planbestemmelsene?,Arealene skal ha sol på minst halvparten av arealet kl. 15 vårjevndøgn.,Kristiansund
Hva er kravet angående plassering av fellesareal i planområder ifølge dokumentet?,"Minst 50 % av fellesarealet skal ligge samlet og sentralt, med mulighet for nyanser i store prosjekter og planområder.",Kristiansund
Hva er kravene til opparbeidelse av felles uteoppholdsareal ved utbygging av nye boenheter i kommunen?,"Ved utbygging av og bruksendring til nye boenheter, der det er stilt krav om opparbeidelse av felles uteoppholdsareal i reguleringsplanen eller byggesaken, skal dette være ferdigstilt før første boenhet gis brukstillatelse.",Kristiansund
Hva er kravene til lekeplasser i områder som ikke ligger i hensynssone kulturminne når det etableres 5-20 nye boenheter?,"I områder som ikke ligger i hensynssone kulturminne, må det etableres en minste lekeplass på 120 m2 når det blir etablert mellom 5-20 nye boenheter.",Kristiansund
Kan kommunen kreve at utbygger bidrar til utvikling av grøntområder som lekeområder?,"Ja, kommunen kan kreve at utbygger bidrar til utvikling av vedkommende grøntområde som lekeområde i henhold til planbestemmelsene.",Kristiansund
Hva er kravene til utstyr og fasiliteter som må være tilgjengelig på en nærlekeplass for aldersgruppen 1-6 år ifølge planbestemmelsene?,"Nærlekeplassen må ha 3 ulike typer utstyr/lekeapparater beregnet på aldersgruppen 1-6 år, som for eksempel klatrestativ, huske, sklie, balansestokk, og i tillegg benk, bord og fast dekke på minimum 1,6 x 1,6 m.",Kristiansund
